1068,8,22,30
1079,7,22,29
1261,10,22,32
1452,8,12,20
1626,20,18,38
1631,9,22,31
1884,12,28,40
1910,13,13,26
1959,18,23,41
214,9,22,31
2240,10,12,22
2346,11,14,25
2412,10,24,34
2485,8,22,30
2681,4,14,18
2713,8,26,34
2956,22,21,43
2987,8,28,36
3206,20,14,34
3288,10,20,30
3332,10,22,32
3384,6,23,29
3541,10,20,30
3630,12,24,36
364,6,15,21
3738,10,22,32
406,9,23,32
4153,11,23,34
4223,11,24,35
4224,11,23,34
4235,12,23,35
428,6,20,26
4635,7,20,27
4865,9,26,35
501,14,26,40
502,5,13,18
51,8,6,14
5424,7,24,31
5658,3,13,16
5793,10,16,26
582,10,28,38
591,7,19,26
5922,12,12,24
603,9,24,33
6943,1,10,11
711,9,23,32
741,9,22,31
778,9,26,35
808,22,18,40
85,13,18,31
862,10,30,40
2314,4,20,24
271,8,10,18
1037,12,29,41
2269,10,27,37
2519,9,22,31
5993,3,10,13
112,14,20,34
1144,8,23,31
1412,10,25,35
1425,10,12,22
1464,14,18,32
1493,8,22,30
1621,6,8,14
1650,9,12,21
180,7,18,25
2049,16,22,38
2055,12,19,31
2123,14,22,36
2274,12,25,37
2455,13,22,35
2506,9,12,21
2528,8,17,25
2529,14,22,36
2689,2,14,16
2697,13,19,32
2782,10,25,35
3382,12,34,46
3423,10,10,20
3581,10,25,35
4424,12,31,43
481,12,23,35
5159,9,16,25
5403,12,12,24
5875,4,8,12
590,8,18,26
664,14,22,36
799,8,15,23
814,13,18,31
853,14,24,38
986,4,8,12
3520,10,28,38
5936,8,23,31
1052,8,7,15
1076,8,12,20
1602,7,11,18
1743,6,11,17
1760,11,13,24
1929,7,20,27
2046,8,18,26
2064,13,18,31
2081,10,12,22
209,3,3,6
2094,12,14,26
210,2,6,8
2106,9,18,27
2545,7,16,23
2556,8,13,21
2808,18,19,37
2812,14,19,33
286,9,17,26
3391,15,11,26
3465,14,22,36
3542,4,10,14
4046,4,9,13
4556,8,16,24
465,13,11,24
5184,20,15,35
5328,4,9,13
5600,5,8,13
5840,3,6,9
5844,12,25,37
5991,5,7,12
623,14,22,36
6531,4,9,13
6579,17,12,29
775,10,30,40
783,3,4,7
880,14,18,32
8958,3,8,11
973,20,21,41
980,15,19,34
2953,12,29,41
10,10,20,30
1023,10,25,35
1038,8,7,15
1063,3,7,10
1103,10,32,42
1252,17,8,25
1422,8,23,31
1427,11,14,25
1440,10,25,35
1554,14,22,36
1619,10,18,28
17,7,17,24
1839,12,10,22
2129,10,15,25
217,9,18,27
236,8,8,16
2507,8,12,20
258,12,20,32
2679,14,21,35
2730,8,19,27
2882,20,18,38
3223,18,20,38
3397,12,31,43
3705,10,29,39
408,12,29,41
4165,10,27,37
4334,10,25,35
4512,17,12,29
5065,10,33,43
5392,6,10,16
5453,4,12,16
552,5,8,13
5616,8,8,16
6226,2,14,16
633,7,18,25
641,10,30,40
748,8,12,20
758,10,25,35
794,13,20,33
102,8,8,16
1116,10,25,35
1124,7,17,24
118,8,16,24
1302,12,30,42
1382,12,30,42
1618,12,17,29
1758,11,15,26
1804,12,18,30
1835,24,26,50
1842,14,19,33
1912,8,23,31
1985,15,21,36
2037,12,23,35
2137,8,25,33
2198,8,22,30
2205,16,22,38
2370,12,25,37
2499,4,12,16
2708,8,28,36
2898,4,13,17
307,8,24,32
321,8,14,22
3255,10,32,42
3270,10,27,37
3414,2,12,14
3439,12,29,41
3833,16,19,35
4232,8,15,23
4501,10,19,29
4553,11,19,30
4659,4,12,16
4683,8,23,31
5132,4,12,16
5168,10,23,33
5425,8,27,35
547,12,19,31
5678,3,11,14
5763,10,23,33
5813,3,8,11
6807,10,23,33
6941,4,9,13
745,10,32,42
851,10,21,31
874,10,29,39
93,10,29,39
1004,12,28,40
1014,13,16,29
1102,10,21,31
1229,24,18,42
1434,10,31,41
1825,12,19,31
1891,10,19,29
1941,10,21,31
2004,14,20,34
2139,10,13,23
272,8,26,34
2728,10,16,26
2751,8,23,31
2793,12,34,46
2931,10,23,33
2948,8,24,32
2959,12,29,41
3014,10,25,35
3140,2,14,16
3432,10,25,35
3513,22,19,41
3560,10,29,39
362,8,9,17
3700,12,29,41
397,8,21,29
4193,4,9,13
4220,4,9,13
4284,8,19,27
515,12,28,40
5196,8,28,36
5704,3,8,11
5824,4,9,13
615,10,28,38
616,10,28,38
6850,4,9,13
686,8,18,26
7032,10,27,37
860,8,20,28
915,10,33,43
967,8,24,32
25,10,21,31
4643,10,23,33
850,32,0,32
1045,12,15,27
1201,8,22,30
1320,12,24,36
139,8,19,27
1460,12,17,29
1521,10,31,41
1566,14,15,29
1581,12,27,39
1613,10,29,39
1639,8,8,16
1988,16,21,37
2013,10,27,37
2022,12,17,29
2234,8,26,34
2391,2,14,16
2778,8,9,17
2872,10,23,33
2889,8,24,32
3228,10,23,33
379,9,14,23
4102,14,6,20
430,10,23,33
433,8,29,37
4366,7,10,17
4734,14,8,22
49,8,10,18
5056,8,22,30
523,6,12,18
5298,10,23,33
5488,10,17,27
5722,4,12,16
5869,9,10,19
6963,12,12,24
762,10,26,36
5118,8,26,34
2025,10,14,24
2293,10,11,21
5276,12,12,24
5832,5,8,13
5842,13,14,27
103,14,24,38
1170,6,9,15
1217,9,12,21
1322,12,17,29
1356,14,16,30
1385,12,27,39
1496,14,20,34
1575,10,16,26
167,10,10,20
1685,10,17,27
1879,14,14,28
1883,12,18,30
1969,16,19,35
2078,20,20,40
2302,12,25,37
2373,8,13,21
2417,22,14,36
2439,11,25,36
259,14,19,33
2777,18,24,42
3178,4,9,13
322,14,19,33
3523,14,23,37
3627,16,17,33
363,7,16,23
391,11,18,29
4526,10,19,29
4597,12,18,30
4627,11,23,34
485,8,8,16
5373,10,18,28
5494,14,16,30
5795,16,13,29
5831,3,8,11
592,11,22,33
62,13,16,29
712,12,16,28
7301,17,12,29
842,14,22,36
4395,10,25,35
4638,10,23,33
5331,8,28,36
5491,29,0,29
1186,10,19,29
122,8,9,17
1222,8,24,32
1354,10,26,36
1564,10,27,37
1783,12,27,39
1795,6,7,13
1800,8,30,38
1914,10,27,37
2058,10,27,37
2121,12,25,37
2195,12,27,39
2241,12,21,33
2262,12,27,39
2471,8,21,29
2557,8,23,31
269,10,25,35
3222,19,11,30
3271,10,23,33
3366,10,31,41
3644,10,21,31
3703,4,12,16
3749,8,25,33
4131,8,22,30
4134,4,9,13
4137,8,25,33
4195,12,25,37
4216,10,29,39
4372,8,11,19
4533,8,21,29
5029,10,30,40
505,12,27,39
5058,10,28,38
5185,8,24,32
5389,8,22,30
5719,4,9,13
5807,10,25,35
5847,9,14,23
659,10,26,36
7168,4,9,13
724,10,22,32
7309,4,9,13
839,10,31,41
94,8,26,34
5334,10,31,41
835,32,0,32
1180,10,27,37
1187,8,7,15
129,8,22,30
1306,8,26,34
1315,14,20,34
1378,8,28,36
1459,12,28,40
1515,10,30,40
1690,13,19,32
1695,8,19,27
1793,8,22,30
1930,8,10,18
1994,10,28,38
2074,12,29,41
2082,10,27,37
2110,8,25,33
2181,10,23,33
2209,10,17,27
2213,12,20,32
2244,20,15,35
2265,10,25,35
2310,10,27,37
2322,10,32,42
2496,9,18,27
2534,10,27,37
2653,8,8,16
2693,12,29,41
275,12,29,41
2786,8,30,38
2831,8,23,31
2977,5,11,16
2990,16,14,30
3205,12,32,44
3617,4,12,16
3747,12,31,43
4147,4,9,13
4340,12,29,41
4387,12,35,47
4435,18,13,31
4617,4,9,13
495,10,28,38
5179,4,10,14
5394,12,29,41
544,12,31,43
5709,10,27,37
5851,10,27,37
5881,8,13,21
5907,7,4,11
770,18,14,32
782,8,25,33
919,8,26,34
3053,8,15,23
1149,10,18,28
1185,12,8,20
1265,11,8,19
1316,9,12,21
1335,8,22,30
1341,8,26,34
1463,10,20,30
15,8,26,34
1579,8,21,29
1874,10,29,39
1968,14,19,33
2143,11,12,23
2230,13,15,28
2306,12,27,39
2438,12,27,39
2464,17,12,29
2619,22,14,36
2716,18,20,38
2823,8,15,23
2892,18,17,35
2915,8,14,22
295,8,8,16
3044,10,29,39
3151,10,18,28
3311,10,27,37
3579,4,8,12
3593,4,12,16
3717,10,27,37
3724,3,10,13
3838,14,18,32
410,8,18,26
4230,11,15,26
4383,10,31,41
4637,10,20,30
4667,4,12,16
499,12,24,36
5089,13,4,17
5123,20,21,41
5186,15,16,31
5257,6,6,12
530,8,22,30
5481,11,13,24
5657,4,12,16
594,16,17,33
602,15,17,32
6814,4,9,13
721,14,22,36
785,7,16,23
843,5,9,14
1080,8,26,34
1400,8,22,30
1415,8,13,21
1438,8,24,32
1458,8,18,26
1518,10,31,41
1547,12,30,42
1597,13,23,36
1682,8,28,36
1745,8,28,36
1817,8,30,38
194,12,19,31
2088,12,21,33
2221,8,34,42
2267,6,12,18
231,16,20,36
2318,10,26,36
2387,8,34,42
257,6,9,15
2588,18,24,42
2688,8,26,34
2727,8,18,26
2884,8,38,46
2991,8,26,34
3210,8,28,36
3267,8,26,34
3331,8,22,30
3443,10,12,22
3599,4,8,12
3869,6,17,23
4332,12,31,43
4430,12,16,28
4497,10,18,28
45,12,29,41
4603,6,6,12
491,8,26,34
5049,13,14,27
5192,8,26,34
5244,8,18,26
5296,8,28,36
535,8,28,36
5487,10,13,23
5871,8,21,29
5894,12,6,18
645,8,20,28
673,8,18,26
6828,4,9,13
7062,4,8,12
857,8,22,30
10,8,26,34
1051,9,11,20
106,6,9,15
1075,14,19,33
128,10,23,33
13,8,22,30
134,16,8,24
1635,20,8,28
1655,12,29,41
17,8,26,34
1739,18,27,45
190,8,23,31
1978,8,26,34
2021,8,26,34
2197,8,22,30
2227,10,10,20
2365,11,16,27
2511,8,22,30
2516,8,22,30
2540,10,25,35
265,8,20,28
2683,5,10,15
28,8,26,34
2834,8,26,34
287,12,16,28
2941,8,20,28
30,10,19,29
3019,5,10,15
3275,4,9,13
3406,8,24,32
3533,8,26,34
3861,10,33,43
4,8,22,30
415,15,9,24
4203,12,12,24
4580,5,8,13
47,8,18,26
479,11,17,28
5051,18,20,38
5054,8,24,32
5119,4,12,16
5136,14,20,34
5205,4,12,16
5246,8,14,22
5349,6,6,12
5361,8,22,30
5430,8,26,34
5935,10,25,35
6300,4,21,25
652,8,24,32
688,10,27,37
7179,12,12,24
7205,4,8,12
739,8,28,36
817,8,26,34
861,10,28,38
932,8,18,26
963,8,26,34
975,12,16,28
1226,7,13,20
1310,8,22,30
1324,8,26,34
1447,11,19,30
1565,8,20,28
1640,8,18,26
1753,8,15,23
1801,8,20,28
186,11,13,24
1878,8,20,28
1935,14,26,40
20,8,14,22
203,6,9,15
2072,12,6,18
2105,8,20,28
2184,12,10,22
2424,8,8,16
3392,4,10,14
3445,10,33,43
4164,8,22,30
4164,8,14,22
426,8,22,30
4381,8,22,30
4436,12,11,23
5078,8,22,30
5316,8,26,34
5370,14,19,33
5411,16,10,26
5494,8,28,36
5672,8,22,30
5673,8,22,30
5738,4,10,14
5769,3,8,11
5960,4,9,13
6300,8,26,34
6587,4,10,14
6963,8,26,34
728,8,18,26
838,18,22,40
880,8,26,34
906,8,30,38
914,8,16,24
1096,11,15,26
1405,8,23,31
1523,14,17,31
1669,14,18,32
195,17,14,31
2328,3,7,10
2427,8,22,30
2480,10,17,27
2649,8,30,38
3338,4,7,11
5429,4,26,30
5898,9,12,21
5962,4,9,13
610,12,16,28
663,11,16,27
681,7,16,23
1344,12,28,40
1896,18,15,33
242,8,15,23
2690,15,13,28
3433,11,16,27
5379,10,10,20
736,7,13,20
2100,10,25,35
22,9,15,24
403,8,14,22
7308,4,9,13
1305,8,22,30
1452,10,16,26
1585,8,22,30
1626,8,22,30
1772,8,22,30
1884,8,23,31
2192,8,26,34
221,8,24,32
2593,8,25,33
2600,8,24,32
2695,8,26,34
284,8,28,36
3206,8,26,34
355,8,24,32
427,8,28,36
51,4,10,14
5311,8,24,32
549,8,22,30
590,8,22,30
6397,8,18,26
698,8,28,36
7178,8,20,28
720,8,22,30
85,8,22,30
867,8,28,36
892,8,28,36
899,8,20,28
