DC NBR #,Biz Unit,Commodity,WK 38,WK 39,WK 40,WK 41,WK 42,WK 43,WK 44,WK 45,WK 46,WK 47
4154,Sam's,CHEESE ADVENT CAL,0,0,0,567,0,0,0,0,0,0
4154,Sam's,CRANBERRIES,0,0,0,147,0,0,0,0,0,0
4154,Sam's,CRANBERRY SAUCE,0,460,2773,3739,3023,0,0,0,0,0
4154,Sam's,PIES AND DESSERTS,3547,5175,2756,7795,11222,1285,1969,560,4057,192
4154,Sam's,PRIME RIB,0,0,362,0,0,0,0,0,0,0
4154,Sam's,TURKEY GRAVY,0,813,2438,3750,2666,0,0,0,0,0
4154,WALMART,EGGS COMMODITY,0,0,0,0,0,0,0,0,0,0
4154,WALMART,FROZEN PIES AND COOL WHIP,0,0,0,0,0,0,0,0,0,0
4154,WALMART,FROZEN ROLLS,0,0,0,0,0,0,0,0,0,0
4154,WALMART,GREENS,0,0,0,0,0,0,0,0,0,0
4154,WALMART,OIL AND SHORTENING,0,0,0,0,0,0,0,0,0,0
4154,WALMART,PIES AND DESSERTS,0,0,0,0,0,0,0,0,0,0
4154,WALMART,POTATOES,0,0,0,0,0,0,0,0,0,0
4154,WALMART,SWEET POTATOES,0,0,0,0,0,0,0,0,0,0
6042,Sam's,CHEESE ADVENT CAL,0,0,0,477,0,0,0,0,0,0
6042,Sam's,CHRISTMAS FOLIAGE,0,0,0,0,0,0,0,0,0,7809
6042,Sam's,CRANBERRIES,0,0,0,2107,0,0,0,0,0,0
6042,Sam's,CRANBERRY SAUCE,0,523,3168,4272,3458,0,0,0,0,0
6042,Sam's,HAM,2142,3215,3215,3930,4645,2713,4748,3430,2674,0
6042,Sam's,PIES AND DESSERTS,2760,5203,3139,9872,17612,1412,2539,1034,3732,168
6042,Sam's,PRIME RIB,0,0,290,0,341,0,363,0,0,0
6042,Sam's,THANKSGIVING FOLIAGE,0,0,0,0,6894,0,0,0,0,0
6042,Sam's,TURKEY,0,1117,4456,5779,11448,0,0,0,0,0
6042,Sam's,TURKEY GRAVY,0,999,3001,4619,3277,0,0,0,0,0
6042,WALMART,EGGS COMMODITY,14791,14694,16460,16264,20075,16832,16733,16964,18378,14170
6042,WALMART,FROZEN PIES AND COOL WHIP,1909,2593,5573,5492,12607,12182,1273,2414,4501,4832
6042,WALMART,FROZEN ROLLS,3246,3331,5957,4680,7057,6475,3370,3553,4316,4419
6042,WALMART,GREENS,597,548,656,699,1331,1395,552,585,691,553
6042,WALMART,OIL AND SHORTENING,8010,5695,7504,7787,11311,7796,5406,6073,6192,3982
6042,WALMART,PIES AND DESSERTS,1037,1368,1636,2182,5582,7409,906,981,1493,1524
6042,WALMART,POTATOES,6931,7229,8000,8907,13210,9197,6765,7378,8835,7062
6042,WALMART,SWEET POTATOES,668,745,993,1455,3000,1809,671,750,1080,885
6047,Sam's,CHEESE ADVENT CAL,0,0,0,336,0,0,0,0,0,0
6047,Sam's,CHRISTMAS FOLIAGE,0,0,0,0,0,0,0,0,0,4227
6047,Sam's,CRANBERRIES,0,0,0,931,0,0,0,0,0,0
6047,Sam's,CRANBERRY SAUCE,0,238,1419,1913,1548,0,0,0,0,0
6047,Sam's,HAM,976,1460,1460,1824,2030,1301,2269,1683,1260,0
6047,Sam's,PIES AND DESSERTS,2808,2688,1413,3801,4908,912,858,120,1596,0
6047,Sam's,PRIME RIB,0,0,230,0,64,0,303,0,0,0
6047,Sam's,THANKSGIVING FOLIAGE,0,0,0,0,3390,0,0,0,0,0
6047,Sam's,TURKEY,0,257,1023,2264,4034,0,0,0,0,0
6047,Sam's,TURKEY GRAVY,0,493,1487,2288,1625,0,0,0,0,0
6047,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6047,WALMART,EGGS COMMODITY,19063,19054,20791,20809,25385,20345,21235,21764,23877,17653
6047,WALMART,FROZEN PIES AND COOL WHIP,2778,3584,6617,6115,12801,8972,2578,3268,4896,4173
6047,WALMART,FROZEN ROLLS,4380,4271,6474,5604,7069,5411,4507,4968,5788,4992
6047,WALMART,GREENS,1092,1035,1150,1351,2836,2815,982,1080,1392,1273
6047,WALMART,OIL AND SHORTENING,11274,7109,8401,8773,11708,8064,7342,8135,7959,4980
6047,WALMART,PIES AND DESSERTS,2000,2601,3062,3529,7209,6580,1842,2059,2566,2084
6047,WALMART,POTATOES,5535,5785,6402,7468,11977,7792,5399,6049,7415,6061
6047,WALMART,SWEET POTATOES,976,1066,1377,2091,4799,2622,929,1063,1478,1203
6055,Sam's,CHEESE ADVENT CAL,0,0,0,432,0,0,0,0,0,0
6055,Sam's,CHRISTMAS FOLIAGE,0,0,0,0,0,0,0,0,0,5574
6055,Sam's,CRANBERRIES,0,0,0,2107,0,0,0,0,0,0
6055,Sam's,CRANBERRY SAUCE,0,470,2834,3821,3089,0,0,0,0,0
6055,Sam's,HAM,2178,3276,3276,3972,4700,2757,6338,3536,2681,0
6055,Sam's,PIES AND DESSERTS,2184,4406,2393,6754,11128,1715,2283,765,2995,118
6055,Sam's,PRIME RIB,0,0,322,0,264,0,408,0,0,0
6055,Sam's,THANKSGIVING FOLIAGE,0,0,0,0,4548,0,0,0,0,0
6055,Sam's,TURKEY,0,1128,4510,6856,10772,0,0,0,0,0
6055,Sam's,TURKEY GRAVY,0,983,2955,4551,3233,0,0,0,0,0
6055,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6055,WALMART,EGGS COMMODITY,19828,18812,20751,21400,26975,21192,21212,21791,24372,17973
6055,WALMART,FROZEN PIES AND COOL WHIP,1867,2575,5223,3948,8097,6820,1752,2181,3276,3085
6055,WALMART,FROZEN ROLLS,3185,3191,4465,4083,5502,4881,3563,3395,4242,3560
6055,WALMART,GREENS,1423,1374,1557,1886,5083,5742,1256,1429,2236,2522
6055,WALMART,OIL AND SHORTENING,11738,8871,11034,12187,18194,11638,8211,9342,9732,6063
6055,WALMART,PIES AND DESSERTS,1152,1343,1796,2325,5358,5402,917,1165,1851,1638
6055,WALMART,POTATOES,6205,6235,6701,7354,10598,7854,5704,6411,7488,6035
6055,WALMART,SWEET POTATOES,910,982,1266,1918,4253,2512,841,999,1412,1178
6056,Sam's,CHEESE ADVENT CAL,0,0,0,511,0,0,0,0,0,0
6056,Sam's,CHRISTMAS FOLIAGE,0,0,0,0,0,0,0,0,0,7992
6056,Sam's,CRANBERRIES,0,0,0,2156,0,0,0,0,0,0
6056,Sam's,CRANBERRY SAUCE,0,538,3226,4353,3523,0,0,0,0,0
6056,Sam's,HAM,1703,2557,2557,3163,3516,2146,3751,2933,1928,0
6056,Sam's,PIES AND DESSERTS,3703,6400,3824,13722,23811,2043,3084,1269,5022,198
6056,Sam's,PRIME RIB,0,0,278,0,225,0,296,0,0,0
6056,Sam's,THANKSGIVING FOLIAGE,0,0,0,0,6756,0,0,0,0,0
6056,Sam's,TURKEY,0,1202,4794,6154,12175,0,0,0,0,0
6056,Sam's,TURKEY GRAVY,0,1116,3361,5170,3675,0,0,0,0,0
6056,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6056,WALMART,EGGS COMMODITY,14347,14168,15449,15612,19424,15783,15852,16151,17531,12911
6056,WALMART,FROZEN PIES AND COOL WHIP,1466,1981,3944,3334,7142,6442,1587,1872,2711,2513
6056,WALMART,FROZEN ROLLS,2504,2524,4211,3349,5020,4758,2724,2671,3118,2814
6056,WALMART,GREENS,772,731,844,1046,2367,2584,746,762,987,867
6056,WALMART,OIL AND SHORTENING,44,49,41,49,58,84,41,59,61,62
6056,WALMART,PIES AND DESSERTS,888,1183,1452,1913,5249,4602,1263,1211,1675,1458
6056,WALMART,POTATOES,5473,5703,6237,6837,10039,7349,5344,5901,6930,5495
6056,WALMART,SWEET POTATOES,751,807,1084,1623,3606,2178,763,851,1243,1029
6057,Sam's,CHEESE ADVENT CAL,0,0,0,336,0,0,0,0,0,0
6057,Sam's,CHRISTMAS FOLIAGE,0,0,0,0,0,0,0,0,0,2982
6057,Sam's,CRANBERRIES,0,0,0,1274,0,0,0,0,0,0
6057,Sam's,CRANBERRY SAUCE,0,280,1685,2277,1841,0,0,0,0,0
6057,Sam's,HAM,1667,2502,2502,3113,3564,2097,3670,2639,2083,0
6057,Sam's,PIES AND DESSERTS,1092,2468,1579,4895,8587,1683,1483,743,2107,74
6057,Sam's,PRIME RIB,0,0,245,0,229,0,316,0,0,0
6057,Sam's,THANKSGIVING FOLIAGE,0,0,0,0,3150,0,0,0,0,0
6057,Sam's,TURKEY,0,649,2590,2667,5598,0,0,0,0,0
6057,Sam's,TURKEY GRAVY,0,564,1692,2605,1849,0,0,0,0,0
6057,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6057,WALMART,EGGS COMMODITY,21713,21545,23572,23683,28050,23020,23634,24295,26114,19395
6057,WALMART,FROZEN PIES AND COOL WHIP,2550,3595,6868,5665,11191,10560,2549,3825,5481,5487
6057,WALMART,FROZEN ROLLS,4283,4308,6406,5427,7428,6788,4643,4552,5657,4813
6057,WALMART,GREENS,1572,1501,1693,1914,3574,3825,1468,1560,1806,1566
6057,WALMART,OIL AND SHORTENING,12105,9617,12141,12859,18522,11920,9895,10906,10702,6637
6057,WALMART,PIES AND DESSERTS,1989,2470,3071,3836,8854,10141,1550,1939,3253,2864
6057,WALMART,POTATOES,8022,8305,8847,9407,12669,9876,7851,8564,9884,7823
6057,WALMART,SWEET POTATOES,1548,1649,2104,2960,6025,3896,1539,1791,2505,2093
6059,Sam's,CHEESE ADVENT CAL,0,0,0,492,0,0,0,0,0,0
6059,Sam's,CHRISTMAS FOLIAGE,0,0,0,0,0,0,0,0,0,6150
6059,Sam's,CRANBERRIES,0,0,0,2009,0,0,0,0,0,0
6059,Sam's,CRANBERRY SAUCE,0,378,2263,3050,2470,0,0,0,0,0
6059,Sam's,HAM,1999,2997,2997,3769,4153,2664,4661,3470,2545,0
6059,Sam's,PIES AND DESSERTS,3028,4171,2495,6479,10607,1155,1710,675,2620,128
6059,Sam's,PRIME RIB,0,0,221,0,342,0,350,0,0,0
6059,Sam's,THANKSGIVING FOLIAGE,0,0,0,0,5355,0,0,0,0,0
6059,Sam's,TURKEY,0,803,3198,5163,9732,0,0,0,0,0
6059,Sam's,TURKEY GRAVY,0,604,1820,2800,1989,0,0,0,0,0
6059,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6059,WALMART,EGGS COMMODITY,12985,13113,14245,14554,18099,15088,14687,15056,16611,12569
6059,WALMART,FROZEN PIES AND COOL WHIP,3101,3856,7624,7510,16056,13161,2216,3692,6219,6068
6059,WALMART,FROZEN ROLLS,5357,5574,8631,7528,10415,8326,5926,6186,7596,6895
6059,WALMART,GREENS,757,685,800,902,1778,1876,635,746,892,760
6059,WALMART,OIL AND SHORTENING,11791,7353,9031,9530,13988,8871,7521,8259,8209,4825
6059,WALMART,PIES AND DESSERTS,1306,1742,2050,2563,5851,6963,1202,1335,1838,1691
6059,WALMART,POTATOES,7494,7859,8593,9890,14951,10016,7367,8125,9653,7710
6059,WALMART,SWEET POTATOES,833,852,1107,1625,3494,1996,730,846,1182,1004
6062,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6062,WALMART,EGGS COMMODITY,28343,27820,30312,31354,40928,31440,31527,32358,35933,26449
6062,WALMART,FROZEN PIES AND COOL WHIP,3680,5286,9546,8575,18397,13739,4137,5002,7564,6317
6062,WALMART,FROZEN ROLLS,7690,7855,11540,11094,17096,13040,8681,8408,12134,10366
6062,WALMART,GREENS,1931,1802,2066,2441,5183,6027,1800,1903,2487,2405
6062,WALMART,OIL AND SHORTENING,33,25,31,36,37,32,28,42,49,34
6062,WALMART,PIES AND DESSERTS,2014,2359,2848,3620,8993,6459,2530,2440,3353,2751
6062,WALMART,POTATOES,11779,12175,13153,14591,21270,14919,11278,12489,15084,12108
6062,WALMART,SWEET POTATOES,1391,1477,2020,3122,6675,3792,1335,1447,2064,1752
6064,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6064,WALMART,EGGS COMMODITY,30168,29045,32240,32172,39591,32078,32900,33413,36592,26490
6064,WALMART,FROZEN PIES AND COOL WHIP,2525,3594,6647,5943,13517,12918,1701,2939,4849,4685
6064,WALMART,FROZEN ROLLS,4840,4802,7726,6450,9491,8786,4912,5148,6196,5295
6064,WALMART,GREENS,1831,1731,2015,2611,6458,7221,1577,1812,2481,2330
6064,WALMART,OIL AND SHORTENING,11478,9864,13357,13389,19450,11649,9520,10597,11206,7166
6064,WALMART,PIES AND DESSERTS,2006,2419,3224,4309,12091,15482,1436,1607,2718,3008
6064,WALMART,POTATOES,10775,11146,12287,13590,20239,14971,10660,11494,13521,10649
6064,WALMART,SWEET POTATOES,1436,1556,2101,3280,7665,4487,1499,1616,2325,1896
6065,Sam's,CHEESE ADVENT CAL,0,0,0,481,0,0,0,0,0,0
6065,Sam's,CHRISTMAS FOLIAGE,0,0,0,0,0,0,0,0,0,5685
6065,Sam's,CRANBERRIES,0,0,0,1617,0,0,0,0,0,0
6065,Sam's,CRANBERRY SAUCE,0,342,2058,2777,2245,0,0,0,0,0
6065,Sam's,HAM,1660,2486,2486,3086,3530,2213,3869,2804,2174,0
6065,Sam's,PIES AND DESSERTS,2752,4287,2468,6613,11665,1095,1826,653,3069,153
6065,Sam's,PRIME RIB,0,0,350,0,270,0,466,0,0,0
6065,Sam's,THANKSGIVING FOLIAGE,0,0,0,0,5307,0,0,0,0,0
6065,Sam's,TURKEY,0,875,3484,5275,10057,0,0,0,0,0
6065,Sam's,TURKEY GRAVY,0,760,2281,3513,2496,0,0,0,0,0
6065,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6065,WALMART,EGGS COMMODITY,17082,17018,18700,18562,23164,18083,18806,19193,21367,15831
6065,WALMART,FROZEN PIES AND COOL WHIP,2277,2979,6043,5796,13999,10224,1810,2786,4886,4323
6065,WALMART,FROZEN ROLLS,4142,4149,6936,5625,8378,6549,4341,4714,5743,5442
6065,WALMART,GREENS,740,711,802,889,1771,1983,682,733,827,663
6065,WALMART,OIL AND SHORTENING,8811,5643,6561,6533,9286,6547,5282,5960,6038,3671
6065,WALMART,PIES AND DESSERTS,1423,1536,1789,2337,5846,5837,1061,1172,1697,1553
6065,WALMART,POTATOES,6871,7130,7733,8723,13040,8817,6502,7187,8541,6839
6065,WALMART,SWEET POTATOES,803,870,1190,1782,3953,2380,852,919,1266,1057
6071,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6071,WALMART,EGGS COMMODITY,33697,33087,35875,35612,42931,36187,36666,37191,40838,29367
6071,WALMART,FROZEN PIES AND COOL WHIP,2251,3231,5703,4894,10253,10393,2065,2913,4256,4070
6071,WALMART,FROZEN ROLLS,4666,4562,6445,5342,6548,6116,4953,4963,5632,4561
6071,WALMART,GREENS,2309,2173,2459,2783,6479,7683,2029,2142,2950,2860
6071,WALMART,OIL AND SHORTENING,12278,9816,12522,12058,17670,13957,9222,10008,10683,6912
6071,WALMART,PIES AND DESSERTS,3193,3680,4492,5275,11378,14231,2221,2149,3523,3052
6071,WALMART,POTATOES,9930,10025,10848,11955,17806,13548,9667,10094,12092,9625
6071,WALMART,SWEET POTATOES,1551,1646,2065,2834,5947,3842,1576,1660,2297,1909
6072,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6072,WALMART,EGGS COMMODITY,22079,22159,24349,25138,32988,26272,25061,25784,28601,21960
6072,WALMART,FROZEN PIES AND COOL WHIP,3679,5216,10036,7773,15424,13955,3842,5240,7549,7328
6072,WALMART,FROZEN ROLLS,7443,7605,11135,10338,15265,12234,7889,7723,11604,9820
6072,WALMART,GREENS,2400,2292,2634,3091,7056,8503,2062,2317,3039,2994
6072,WALMART,OIL AND SHORTENING,14415,10827,13280,14204,20119,14059,10167,11519,12050,7888
6072,WALMART,PIES AND DESSERTS,1812,2037,2594,3228,7141,7770,1467,1742,2917,2517
6072,WALMART,POTATOES,8939,9143,9762,10675,14955,11235,8484,9511,11162,9033
6072,WALMART,SWEET POTATOES,1338,1460,1951,2942,6271,3756,1200,1450,2023,1736
6073,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6073,WALMART,EGGS COMMODITY,24276,23792,26261,26716,33046,26684,27022,27783,30623,23017
6073,WALMART,FROZEN PIES AND COOL WHIP,3069,4134,8261,6148,12390,12293,2242,3686,5603,5644
6073,WALMART,FROZEN ROLLS,4807,4727,7495,6189,8243,7757,5394,5074,6093,5283
6073,WALMART,GREENS,2455,2303,2746,3395,9304,10970,2361,2530,4106,4661
6073,WALMART,OIL AND SHORTENING,15609,11742,15087,15430,22033,15694,11361,12959,13451,8731
6073,WALMART,PIES AND DESSERTS,2300,2437,3132,3963,9102,9275,1467,1864,3051,2735
6073,WALMART,POTATOES,8706,8714,9491,10495,15225,11298,8123,9087,10752,8618
6073,WALMART,SWEET POTATOES,1516,1633,2129,3289,7574,4428,1548,1684,2331,1890
6074,Sam's,CHRISTMAS FOLIAGE,0,0,0,0,0,0,0,0,0,4809
6074,Sam's,CRANBERRIES,0,0,0,1274,0,0,0,0,0,0
6074,Sam's,HAM,1222,1836,1836,2300,2534,1632,2860,2163,1544,0
6074,Sam's,PRIME RIB,0,0,0,0,550,0,356,0,0,0
6074,Sam's,THANKSGIVING FOLIAGE,0,0,0,0,4260,0,0,0,0,0
6074,Sam's,TURKEY,0,503,2013,2829,5502,0,0,0,0,0
6074,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6074,WALMART,EGGS COMMODITY,24434,24273,26353,26841,32996,26332,27028,27658,30648,22857
6074,WALMART,FROZEN PIES AND COOL WHIP,3703,5248,9731,9737,22410,16992,2853,4676,8001,7140
6074,WALMART,FROZEN ROLLS,6670,6561,10045,8081,9598,7866,6821,7223,8350,6847
6074,WALMART,GREENS,1000,933,1092,1345,3310,3399,875,1042,1316,1183
6074,WALMART,OIL AND SHORTENING,0,0,0,0,0,0,0,0,0,0
6074,WALMART,PIES AND DESSERTS,2505,3116,3731,4467,10131,10572,2158,2426,3347,2858
6074,WALMART,POTATOES,9451,9668,10452,12200,18270,12462,8943,9959,11856,9533
6074,WALMART,SWEET POTATOES,873,954,1241,1952,4581,2751,847,968,1401,1276
6077,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6077,WALMART,EGGS COMMODITY,21011,20941,22880,22806,27812,22589,23083,23565,25937,19477
6077,WALMART,FROZEN PIES AND COOL WHIP,3555,4773,9306,9021,20861,15358,2996,4490,7486,6877
6077,WALMART,FROZEN ROLLS,6238,6444,10054,8599,12176,9597,6669,7152,8500,7866
6077,WALMART,GREENS,1059,985,1128,1317,2579,2601,908,1012,1206,1033
6077,WALMART,OIL AND SHORTENING,40,48,49,58,59,50,61,55,72,60
6077,WALMART,PIES AND DESSERTS,2170,2264,2801,3514,8533,10060,1629,1827,2695,2361
6077,WALMART,POTATOES,9555,9892,10828,12154,18027,12452,9061,10164,12045,9659
6077,WALMART,SWEET POTATOES,1054,1145,1530,2318,5130,3068,1082,1169,1665,1415
6082,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6082,WALMART,EGGS COMMODITY,30276,30705,33342,34236,43630,34909,34554,35260,38525,28670
6082,WALMART,FROZEN PIES AND COOL WHIP,4609,5985,12215,11372,25128,19300,5517,6543,10226,8963
6082,WALMART,FROZEN ROLLS,8430,8860,14080,12076,18471,15461,9405,9414,12691,11195
6082,WALMART,GREENS,1442,1412,1571,1725,3126,3205,1313,1470,1697,1394
6082,WALMART,OIL AND SHORTENING,11155,7692,9562,9825,13906,8622,7368,8204,8197,4966
6082,WALMART,PIES AND DESSERTS,2440,2763,3379,4430,11004,9431,2998,2819,3863,3236
6082,WALMART,POTATOES,13286,13826,14899,16334,23149,16674,13104,14244,17051,13604
6082,WALMART,SWEET POTATOES,1964,2135,2799,3971,7969,4819,1985,2197,3089,2566
6083,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6083,WALMART,EGGS COMMODITY,36512,36451,39898,39643,47933,39077,40525,41120,44649,32544
6083,WALMART,FROZEN PIES AND COOL WHIP,2813,4203,9817,7014,15997,15496,2341,3020,4583,4682
6083,WALMART,FROZEN ROLLS,4384,4604,7502,6007,8687,7621,4583,4830,5771,4940
6083,WALMART,GREENS,1181,1165,1255,1324,2315,2288,1059,1237,1315,1002
6083,WALMART,OIL AND SHORTENING,8896,7548,11210,9369,14004,11183,6808,7775,8553,5929
6083,WALMART,PIES AND DESSERTS,3243,4293,5365,7223,20151,23801,2648,2770,4063,4134
6083,WALMART,POTATOES,11381,11779,12771,14089,20520,15181,11341,12043,14061,11172
6083,WALMART,SWEET POTATOES,1071,1199,1570,2392,5612,3228,1187,1178,1633,1404
6084,WALMART,EGGS COMMODITY,30833,30969,33365,32917,39306,31042,32429,33317,36040,26459
6084,WALMART,FROZEN PIES AND COOL WHIP,2803,3739,7722,7908,18245,13503,2841,3333,5262,4710
6084,WALMART,FROZEN ROLLS,2913,3087,5479,4203,6141,5414,3095,3208,3650,3207
6084,WALMART,GREENS,874,834,904,950,1431,1249,794,904,911,676
6084,WALMART,OIL AND SHORTENING,6887,7134,9031,8179,10460,6451,6499,7393,7778,5056
6084,WALMART,PIES AND DESSERTS,2476,3377,4274,6260,18545,14684,3429,3114,4600,3678
6084,WALMART,POTATOES,13281,14046,15272,17315,26107,16572,12673,14092,16425,12568
6084,WALMART,SWEET POTATOES,859,946,1328,2094,4658,2339,937,957,1334,1088
6085,WALMART,EGGS COMMODITY,21586,21854,23305,23329,27119,22559,23305,23762,25503,18815
6085,WALMART,FROZEN PIES AND COOL WHIP,3277,4041,8025,7250,15914,12309,3757,3970,5853,4911
6085,WALMART,FROZEN ROLLS,5476,5505,8165,7019,8664,7259,5750,6397,7334,6520
6085,WALMART,GREENS,882,811,921,1000,1919,2220,739,866,981,812
6085,WALMART,OIL AND SHORTENING,13522,7527,8798,9402,12347,8949,8066,9112,8862,5326
6085,WALMART,PIES AND DESSERTS,1633,2260,2692,3179,7905,5704,2362,2212,2750,2100
6085,WALMART,POTATOES,8253,8576,9226,10810,15907,11428,8024,8939,10504,8361
6085,WALMART,SWEET POTATOES,829,881,1118,1639,3580,2409,854,920,1234,1096
6090,WALMART,EGGS COMMODITY,31465,32192,34493,33231,39416,31821,34380,34920,38259,28960
6090,WALMART,FROZEN PIES AND COOL WHIP,3316,4480,8922,8767,20949,18062,2241,3517,6019,6006
6090,WALMART,FROZEN ROLLS,5225,5318,8762,7108,11118,10550,4877,5794,7991,8794
6090,WALMART,GREENS,1369,1305,1440,1542,3098,1802,1124,1365,1684,1126
6090,WALMART,OIL AND SHORTENING,8006,5655,6967,6530,8934,6259,5650,6233,6225,3930
6090,WALMART,PIES AND DESSERTS,2206,2706,3342,4178,11177,12272,1729,1871,2795,2579
6090,WALMART,POTATOES,11410,11613,12715,14225,21896,13791,10906,11933,14450,11247
6090,WALMART,SWEET POTATOES,1169,1309,1821,2784,6581,3333,1363,1341,1799,1451
6091,Sam's,CHEESE ADVENT CAL,0,0,0,450,0,0,0,0,0,0
6091,Sam's,CHRISTMAS FOLIAGE,0,0,0,0,0,0,0,0,0,5598
6091,Sam's,CRANBERRIES,0,0,0,1813,0,0,0,0,0,0
6091,Sam's,CRANBERRY SAUCE,0,412,2475,3340,2700,0,0,0,0,0
6091,Sam's,HAM,1763,2646,2646,3232,3806,2231,3905,2839,2184,0
6091,Sam's,PIES AND DESSERTS,2408,4145,2214,6783,9979,2334,2027,738,2943,111
6091,Sam's,PRIME RIB,0,0,338,0,157,0,449,0,0,0
6091,Sam's,THANKSGIVING FOLIAGE,0,0,0,0,4038,0,0,0,0,0
6091,Sam's,TURKEY,0,554,2201,3896,7163,0,0,0,0,0
6091,Sam's,TURKEY GRAVY,0,880,2644,4068,2890,0,0,0,0,0
6091,WALMART,EGGS COMMODITY,17064,16548,18241,18435,22679,18105,18563,19017,21117,15800
6091,WALMART,FROZEN PIES AND COOL WHIP,2025,2926,5445,4212,8827,8448,1415,2339,3597,3662
6091,WALMART,FROZEN ROLLS,2835,2786,4414,3731,5530,5343,2868,2933,3673,3426
6091,WALMART,GREENS,1029,989,1143,1392,3357,3503,894,1037,1340,1220
6091,WALMART,OIL AND SHORTENING,47,41,40,48,53,71,40,57,59,69
6091,WALMART,PIES AND DESSERTS,1303,1492,2016,2537,5964,6077,940,1303,2160,1860
6091,WALMART,POTATOES,5350,5350,5772,6492,9718,7486,4928,5605,6493,5279
6091,WALMART,SWEET POTATOES,889,965,1318,2063,4623,2646,844,971,1488,1232
6095,WALMART,EGGS COMMODITY,25794,24772,27218,28119,36902,28346,28149,28986,32544,23923
6095,WALMART,FROZEN PIES AND COOL WHIP,2977,4267,7959,6388,13589,11759,2528,3569,5664,5610
6095,WALMART,FROZEN ROLLS,5917,5809,8156,7476,10114,8609,6289,6298,7912,6459
6095,WALMART,GREENS,2890,2698,3176,4145,12115,13336,2478,2818,4461,4965
6095,WALMART,OIL AND SHORTENING,12362,9167,11377,12580,18828,13175,8675,9924,10720,7088
6095,WALMART,PIES AND DESSERTS,2388,2668,3672,4804,11544,10776,1529,1966,3852,3315
6095,WALMART,POTATOES,9146,9284,10081,11215,16721,12255,8724,9715,11477,9247
6095,WALMART,SWEET POTATOES,1490,1639,2207,3481,8565,5171,1583,1734,2521,2129
6096,Sam's,CHEESE ADVENT CAL,0,0,0,295,0,0,0,0,0,0
6096,Sam's,CHRISTMAS FOLIAGE,0,0,0,0,0,0,0,0,0,4020
6096,Sam's,CRANBERRIES,0,0,0,980,0,0,0,0,0,0
6096,Sam's,CRANBERRY SAUCE,0,242,1445,1949,1580,0,0,0,0,0
6096,Sam's,HAM,797,1197,1197,1489,1670,1063,1859,1403,989,0
6096,Sam's,PIES AND DESSERTS,2193,2391,1330,4145,4410,733,920,156,1714,70
6096,Sam's,PRIME RIB,0,0,177,0,198,0,224,0,0,0
6096,Sam's,THANKSGIVING FOLIAGE,0,0,0,0,3723,0,0,0,0,0
