Store Number,Item Number,Billed Qty (Eaches),Actual Qty (Eaches),Difference
49,553473452,96,24,72
49,554711016,48,8,40
49,566379415,48,12,36
49,566906323,24,8,16
49,567451560,72,12,60
49,567451576,360,60,300
49,567451628,144,24,120
49,568485714,8,2,6
49,576025422,144,12,132
49,576886796,8,2,6
49,578306309,72,12,60
49,578471360,96,16,80
49,579018526,96,4,92
49,583271930,4,2,2
49,584746992,36,6,30
49,585483928,96,16,80
49,586940352,36,3,33
49,595621004,36,6,30
49,650707944,24,4,20
49,652763645,12,2,10
49,653466998,60,10,50
49,655978596,24,8,16
49,658942524,288,12,276
49,658942525,120,8,112
49,659337445,24,8,16
49,666810356,4,1,3
49,669772431,4,2,2
49,671445341,24,6,18
87,553473452,120,30,90
87,554711016,48,8,40
87,566379415,32,8,24
87,566906323,24,8,16
87,567451560,72,12,60
87,567451576,432,72,360
87,567451628,72,12,60
87,568485714,4,1,3
87,576025422,144,12,132
87,576886796,12,3,9
87,577632500,72,18,54
87,578306309,24,4,20
87,578471360,72,12,60
87,579018526,96,4,92
87,583271930,6,3,3
87,584746992,36,6,30
87,585483928,96,16,80
87,586940352,60,5,55
87,595621004,48,8,40
87,598977946,18,3,15
87,650707944,72,12,60
87,652763645,36,6,30
87,653466998,120,20,100
87,655978596,24,8,16
87,658942524,288,12,276
87,659337445,48,16,32
87,666810356,4,1,3
87,669772431,4,2,2
87,671445341,36,9,27
116,553473452,24,6,18
116,554711016,24,4,20
116,566379415,16,4,12
116,567451560,36,6,30
116,567451576,72,12,60
116,567451628,72,12,60
116,568485714,4,1,3
116,576025422,72,6,66
116,578471360,24,4,20
116,579018526,48,2,46
116,584746992,36,6,30
116,585483928,72,12,60
116,653466998,30,5,25
116,658942524,288,12,276
116,658942525,120,8,112
116,666810356,4,1,3
116,669772431,4,2,2
116,671445341,12,3,9
131,553473452,72,18,54
131,554711016,24,4,20
131,566379415,16,4,12
131,566906323,12,4,8
131,567451560,36,6,30
131,567451576,360,60,300
131,567451628,36,6,30
131,568162295,3,1,2
131,568485714,4,1,3
131,576025422,72,6,66
131,576886796,4,1,3
131,577632500,96,24,72
131,578306309,24,4,20
131,578471360,48,8,40
131,579018526,24,1,23
131,583271930,2,1,1
131,584746992,36,6,30
131,585483928,72,12,60
131,586940352,12,1,11
131,595421004,4,1,3
131,595621004,12,2,10
131,598977946,18,3,15
131,650707944,120,20,100
131,652763645,12,2,10
131,653466998,30,5,25
131,655978596,12,4,8
131,656827097,18,6,12
131,658942524,288,12,276
131,658942525,120,8,112
131,669772431,4,2,2
140,553473452,96,24,72
140,554711016,24,4,20
140,566379415,32,8,24
140,566906323,36,12,24
140,567451560,108,18,90
140,567451576,576,96,480
140,567451628,324,54,270
140,568485714,8,2,6
140,576025422,216,18,198
140,576886796,16,4,12
140,577632500,120,30,90
140,578306309,24,4,20
140,578471360,72,12,60
140,579018526,48,2,46
140,583271930,10,5,5
140,584746992,72,12,60
140,585483928,48,8,40
140,586940352,12,1,11
140,595421004,4,1,3
140,595621004,24,4,20
140,650707944,24,4,20
140,652763645,12,2,10
140,653466998,60,10,50
140,655978596,12,4,8
140,658942524,576,24,552
140,658942525,360,24,336
140,659337445,36,12,24
140,666810356,8,2,6
140,669772431,6,3,3
140,671445341,24,6,18
146,553473452,72,18,54
146,554711016,24,4,20
146,566379415,16,4,12
146,566906323,12,4,8
146,567451560,72,12,60
146,567451576,108,18,90
146,567451628,108,18,90
146,568162295,3,1,2
146,576025422,144,12,132
146,576886796,4,1,3
146,578306309,72,12,60
146,578471360,48,8,40
146,579018526,72,3,69
146,583271930,8,4,4
146,584746992,36,6,30
146,585483928,72,12,60
146,586940352,36,3,33
146,595421004,4,1,3
146,595621004,12,2,10
146,598977946,18,3,15
146,650707944,24,4,20
146,652763645,12,2,10
146,653466998,30,5,25
146,655978596,36,12,24
146,658942524,288,12,276
146,658942525,120,8,112
146,666810356,4,1,3
146,669772431,6,3,3
146,671445341,24,6,18
148,553473452,120,30,90
148,554711016,24,4,20
148,566379415,48,12,36
148,566906323,36,12,24
148,567451576,252,42,210
148,567451628,144,24,120
148,568485714,4,1,3
148,576025422,144,12,132
148,577632500,120,30,90
148,578306309,48,8,40
148,578471360,96,16,80
148,579018526,72,3,69
148,583271930,8,4,4
148,584746992,36,6,30
148,585483928,120,20,100
148,586940352,12,1,11
148,595421004,4,1,3
148,595621004,12,2,10
148,650707944,120,20,100
148,652763645,12,2,10
148,653466998,90,15,75
148,655978596,12,4,8
148,656827097,18,6,12
148,658942524,288,12,276
148,659337445,36,12,24
148,669772431,4,2,2
148,670122381,24,8,16
148,671445341,24,6,18
158,553473452,48,12,36
158,554711016,24,4,20
158,566379415,16,4,12
158,567451560,36,6,30
158,567451576,288,48,240
158,567451628,108,18,90
158,568485714,4,1,3
158,576025422,144,12,132
158,578471360,48,8,40
158,579018526,120,5,115
158,583271930,2,1,1
158,584746992,36,6,30
158,585483928,72,12,60
158,586940352,12,1,11
158,595421004,4,1,3
158,650707944,24,4,20
158,653466998,30,5,25
158,656827097,18,6,12
158,658942524,288,12,276
158,658942525,120,8,112
158,659337445,36,12,24
158,669772431,4,2,2
158,671445341,48,12,36
163,553473452,48,12,36
163,554711016,24,4,20
163,566379415,48,12,36
163,566906323,36,12,24
163,567451560,108,18,90
163,567451576,288,48,240
163,567451628,108,18,90
163,568485714,16,4,12
163,574379144,72,12,60
163,576025422,216,18,198
163,576886796,4,1,3
163,577632500,120,30,90
163,578306309,24,4,20
163,578471360,72,12,60
163,579018526,120,5,115
163,583271930,4,2,2
163,584746992,72,12,60
163,585483928,72,12,60
163,586940352,48,4,44
163,595421004,8,2,6
163,595621004,12,2,10
163,599906811,48,2,46
163,652763645,12,2,10
163,653466998,90,15,75
163,655978596,12,4,8
163,658942524,864,36,828
163,658942525,120,8,112
163,659337445,36,12,24
163,669772431,6,3,3
163,671445341,24,6,18
165,553473452,72,18,54
165,554711016,24,4,20
165,566379415,16,4,12
165,566906323,12,4,8
165,567451560,72,12,60
165,567451576,252,42,210
165,567451628,108,18,90
165,568162295,3,1,2
165,568485714,4,1,3
165,576025422,144,12,132
165,578306309,24,4,20
165,578471360,96,16,80
165,579018526,96,4,92
165,583271930,2,1,1
165,584746992,72,12,60
165,585483928,24,4,20
165,586940352,12,1,11
165,598977946,18,3,15
165,650707944,72,12,60
165,652763645,24,4,20
165,653466998,60,10,50
165,655978596,24,8,16
165,656827097,18,6,12
165,658942524,288,12,276
165,658942525,120,8,112
165,659337445,12,4,8
165,666810356,4,1,3
165,669772431,8,4,4
165,671445341,12,3,9
180,550226600,72,4,68
180,553473452,48,12,36
180,554711016,72,12,60
180,555554538,96,12,84
180,566379415,32,8,24
180,566906323,24,8,16
180,567451560,36,6,30
180,567451576,216,36,180
180,567451628,36,6,30
180,568485714,4,1,3
180,576025422,216,18,198
180,576886796,16,4,12
180,577632500,48,12,36
180,578306309,72,12,60
180,578471360,72,12,60
180,579018526,24,1,23
180,583271930,2,1,1
180,584746992,36,6,30
180,585483928,48,8,40
180,586940352,24,2,22
180,595421004,4,1,3
180,595621004,12,2,10
180,598977946,18,3,15
180,652763645,12,2,10
180,653466998,90,15,75
180,655978596,24,8,16
180,658942524,288,12,276
180,658942525,120,8,112
180,659337445,48,16,32
180,666810356,4,1,3
180,669772431,4,2,2
180,671445341,12,3,9
181,553473452,72,18,54
181,554711016,24,4,20
181,566379415,16,4,12
181,566906323,12,4,8
181,567451560,36,6,30
181,567451576,252,42,210
181,567451628,36,6,30
181,568485714,4,1,3
181,576025422,216,18,198
181,578471360,72,12,60
181,579018526,24,1,23
181,583271930,4,2,2
181,584746992,36,6,30
181,585483928,24,4,20
181,586940352,12,1,11
181,595621004,12,2,10
181,650707944,72,12,60
181,652763645,12,2,10
181,653466998,30,5,25
181,655978596,24,8,16
181,658942524,288,12,276
181,659337445,36,12,24
181,669772431,6,3,3
181,671445341,12,3,9
211,553473452,48,12,36
211,554711016,24,4,20
211,566379415,16,4,12
211,566906323,12,4,8
211,567451560,36,6,30
211,567451576,288,48,240
211,567451628,36,6,30
211,568485714,4,1,3
211,576025422,144,12,132
211,577632500,72,18,54
211,578306309,24,4,20
211,578471360,120,20,100
211,579018526,144,6,138
211,583271930,2,1,1
211,584746992,36,6,30
211,585483928,72,12,60
211,586940352,12,1,11
211,650707944,24,4,20
211,653466998,30,5,25
211,655978596,12,4,8
211,658942524,2304,96,2208
211,659337445,36,12,24
211,666810356,4,1,3
211,669772431,16,8,8
211,671445341,12,3,9
214,553473452,72,18,54
214,566379415,16,4,12
214,566906323,36,12,24
214,567451560,36,6,30
214,567451576,216,36,180
214,567451628,108,18,90
214,568485714,20,5,15
214,576025422,216,18,198
214,576886796,4,1,3
214,577632500,72,18,54
214,578306309,24,4,20
214,579018526,192,8,184
214,583271930,6,3,3
214,584746992,36,6,30
214,585483928,72,12,60
214,586940352,24,2,22
214,595421004,8,2,6
214,595621004,12,2,10
214,598977946,18,3,15
214,652763645,36,6,30
214,653466998,60,10,50
214,655978596,24,8,16
214,658942524,288,12,276
214,658942525,120,8,112
214,659337445,12,4,8
214,666810356,12,3,9
214,669772431,8,4,4
214,671445341,24,6,18
226,550023040,12,6,6
226,553473452,48,12,36
226,554711016,24,4,20
226,566379415,16,4,12
226,566906323,12,4,8
226,567451560,36,6,30
226,567451576,216,36,180
226,567451628,72,12,60
226,568485714,8,2,6
226,576025422,72,6,66
226,577632500,48,12,36
226,578306309,24,4,20
226,578471360,24,4,20
226,579018526,240,10,230
226,583271930,8,4,4
226,585483928,24,4,20
226,586940352,12,1,11
226,595421004,8,2,6
226,595621004,12,2,10
226,598977946,18,3,15
226,650707944,24,4,20
226,652763645,12,2,10
226,653466998,30,5,25
226,658942524,288,12,276
226,659337445,12,4,8
226,666810356,4,1,3
226,669772431,2,1,1
226,671445341,12,3,9
226,553473452,96,24,72
228,554711016,72,12,60
228,555366015,48,6,42
228,566379415,80,20,60
228,566906323,60,20,40
228,567451560,72,12,60
228,567451576,360,60,300
228,567451628,180,30,150
228,568162295,9,3,6
228,568485714,8,2,6
228,576025422,360,30,330
228,578306309,72,12,60
228,578471360,120,20,100
228,579018526,120,5,115
228,583271930,4,2,2
228,584746992,36,6,30
228,585483928,120,20,100
228,586940352,48,4,44
228,595421004,16,4,12
228,595621004,36,6,30
228,650707944,120,20,100
228,652763645,36,6,30
228,653466998,120,20,100
228,655978596,24,8,16
228,656827097,18,6,12
228,658942524,864,36,828
228,658942525,120,8,112
228,659337445,60,20,40
228,669772431,6,3,3
228,670122381,48,16,32
228,671445341,48,12,36
236,553473452,48,12,36
236,554711016,24,4,20
236,566379415,16,4,12
236,566906323,12,4,8
236,567451560,72,12,60
236,567451576,180,30,150
236,567451628,72,12,60
236,568485714,4,1,3
236,576025422,144,12,132
236,576886796,12,3,9
236,578471360,24,4,20
236,579018526,24,1,23
236,584746992,36,6,30
236,585483928,24,4,20
236,595621004,12,2,10
236,650707944,24,4,20
236,652763645,24,4,20
236,653466998,30,5,25
236,654276284,120,6,114
236,655978596,12,4,8
236,658942524,288,12,276
236,658942525,120,8,112
236,669772431,2,1,1
236,671445341,12,3,9
240,553473452,48,12,36
240,554711016,24,4,20
240,566379415,32,8,24
240,566906323,12,4,8
240,567451560,72,12,60
240,567451576,180,30,150
240,567451628,72,12,60
240,576025422,216,18,198
240,578471360,72,12,60
240,579018526,144,6,138
240,584746992,36,6,30
240,585483928,24,4,20
240,595421004,4,1,3
240,595621004,12,2,10
240,650707944,48,8,40
240,652763645,12,2,10
240,655978596,24,8,16
240,658942524,288,12,276
240,658942525,120,8,112
240,669772431,8,4,4
240,671445341,12,3,9
248,553473452,72,18,54
248,554711016,96,16,80
248,566379415,16,4,12
248,566906323,12,4,8
248,567451560,36,6,30
248,567451576,216,36,180
248,567451628,108,18,90
248,568485714,4,1,3
248,576025422,72,6,66
248,577632500,72,18,54
248,578306309,48,8,40
248,579018526,96,4,92
248,583271930,8,4,4
248,584746992,36,6,30
248,585483928,48,8,40
248,586940352,12,1,11
248,595421004,4,1,3
248,595621004,12,2,10
248,652763645,12,2,10
248,653466998,30,5,25
248,655978596,12,4,8
248,658942524,288,12,276
248,658942525,120,8,112
248,659337445,12,4,8
248,666810356,4,1,3
248,669772431,10,5,5
248,670122381,48,16,32
248,671445341,12,3,9
251,4043856,36,6,30
251,550226600,72,4,68
251,553473452,120,30,90
251,554711016,72,12,60
251,566379415,32,8,24
251,566906323,72,24,48
251,567451560,72,12,60
251,567451576,468,78,390
251,567451628,144,24,120
251,568162295,6,2,4
251,568485714,8,2,6
251,576025422,216,18,198
251,577632500,144,36,108
251,578471360,72,12,60
251,579018526,72,3,69
251,583271930,4,2,2
251,584746992,72,12,60
251,585483928,72,12,60
251,586940352,48,4,44
251,595621004,36,6,30
251,652763645,12,2,10
251,653466998,60,10,50
251,655978596,36,12,24
251,659337445,12,4,8
251,666810356,4,1,3
251,669772431,2,1,1
251,670122381,120,40,80
251,671445341,24,6,18
259,553473452,96,24,72
259,554711016,48,8,40
259,566379415,48,12,36
259,566906323,48,16,32
259,567451560,36,6,30
259,567451576,396,66,330
259,567451628,108,18,90
259,568485714,4,1,3
259,576025422,144,12,132
259,577632500,72,18,54
259,578306309,24,4,20
259,578471360,24,4,20
259,579018526,96,4,92
259,583271930,4,2,2
259,585483928,72,12,60
259,586940352,24,2,22
259,595421004,4,1,3
259,650707944,672,112,560
259,652763645,12,2,10
259,653466998,30,5,25
259,655978596,12,4,8
259,658942524,288,12,276
259,658942525,120,8,112
259,659337445,36,12,24
259,666810356,4,1,3
259,669772431,2,1,1
259,671445341,12,3,9
260,553473452,72,18,54
260,554711016,72,12,60
260,566379415,48,12,36
260,566906323,36,12,24
260,567451560,72,12,60
260,567451576,144,24,120
260,567451628,36,6,30
260,568485714,4,1,3
260,576025422,144,12,132
260,577632500,120,30,90
260,578306309,24,4,20
260,578471360,24,4,20
260,579018526,72,3,69
260,583271930,2,1,1
260,584746992,72,12,60
260,585483928,72,12,60
260,586940352,12,1,11
260,595421004,4,1,3
260,595621004,36,6,30
260,598977946,18,3,15
260,650707944,120,20,100
260,652763645,48,8,40
260,653466998,90,15,75
260,655978596,24,8,16
260,658942524,288,12,276
260,658942525,120,8,112
260,659337445,48,16,32
260,666810356,4,1,3
260,669772431,4,2,2
260,670122381,12,4,8
260,671445341,12,3,9
265,4043856,24,4,20
265,553473452,72,18,54
265,554711016,72,12,60
265,566379415,16,4,12
265,566906323,12,4,8
265,567451560,72,12,60
265,567451576,108,18,90
265,567451628,108,18,90
265,568485714,8,2,6
265,573415795,6,1,5
265,576025422,144,12,132
265,576886796,4,1,3
265,578306309,24,4,20
265,578471360,72,12,60
265,579018526,96,4,92
265,584746992,36,6,30
265,585483928,72,12,60
265,586940352,12,1,11
265,595421004,12,3,9
265,595621004,12,2,10
265,650707944,48,8,40
265,652763645,36,6,30
265,653466998,90,15,75
265,655978596,12,4,8
265,658942524,288,12,276
265,658942525,120,8,112
265,659337445,12,4,8
265,669772431,12,6,6
265,670122381,60,20,40
265,671445341,12,3,9
266,550226600,72,4,68
266,553473452,72,18,54
266,554050711,144,12,132
266,554711016,24,4,20
266,566379415,48,12,36
266,566906323,24,8,16
266,567451560,36,6,30
266,567451576,432,72,360
266,567451628,72,12,60
266,576025422,144,12,132
266,578306309,24,4,20
266,578471360,24,4,20
266,579018526,72,3,69
266,583271930,4,2,2
266,584746992,36,6,30
266,585483928,72,12,60
266,586940352,12,1,11
266,595621004,12,2,10
266,650707944,48,8,40
266,652763645,12,2,10
266,653466998,30,5,25
266,655978596,12,4,8
266,658942524,288,12,276
266,666810356,4,1,3
266,669772431,6,3,3
266,670122381,48,16,32
275,553473452,72,18,54
275,554711016,24,4,20
275,566379415,48,12,36
275,566906323,12,4,8
275,567451560,72,12,60
275,567451576,324,54,270
275,567451628,180,30,150
275,568162295,9,3,6
275,568485714,4,1,3
275,573415795,6,1,5
275,574377001,36,6,30
275,576025422,144,12,132
275,577632500,120,30,90
275,578306309,24,4,20
275,578471360,72,12,60
275,579018526,144,6,138
275,583271930,6,3,3
275,584746992,36,6,30
275,585483928,48,8,40
275,586940352,12,1,11
275,595421004,4,1,3
275,595621004,12,2,10
275,650707944,72,12,60
275,652763645,12,2,10
275,653466998,60,10,50
275,655978596,24,8,16
275,658942524,288,12,276
275,658942525,120,8,112
275,659337445,24,8,16
275,669772431,6,3,3
275,670122381,24,8,16
278,553473452,48,12,36
278,554711016,24,4,20
278,557650137,24,2,22
278,566379415,80,20,60
278,566906323,24,8,16
278,567451560,72,12,60
278,567451576,216,36,180
278,567451628,144,24,120
278,568162295,3,1,2
278,576025422,216,18,198
278,576886796,4,1,3
278,578306309,48,8,40
278,578471360,48,8,40
278,579018526,48,2,46
278,583271930,2,1,1
278,584746992,36,6,30
278,585483928,120,20,100
278,586940352,60,5,55
278,595421004,4,1,3
278,595621004,12,2,10
278,650707944,120,20,100
278,652763645,24,4,20
278,653466998,60,10,50
278,655978596,12,4,8
278,658942524,288,12,276
278,658942525,360,24,336
278,659337445,36,12,24
278,666810356,4,1,3
278,671445341,12,3,9
284,553473452,96,24,72
284,554711016,24,4,20
284,566379415,16,4,12
284,566906323,24,8,16
284,567451560,72,12,60
284,567451576,144,24,120
284,567451628,72,12,60
284,568162295,3,1,2
284,568485714,4,1,3
284,576025422,216,18,198
284,577632500,72,18,54
284,578306309,24,4,20
284,578471360,24,4,20
284,579018526,144,6,138
284,583271930,4,2,2
284,584746992,36,6,30
284,585483928,48,8,40
284,586940352,12,1,11
284,595421004,4,1,3
284,595621004,12,2,10
284,652763645,12,2,10
284,653466998,30,5,25
284,655978596,12,4,8
284,658942524,288,12,276
284,658942525,120,8,112
284,659337445,48,16,32
284,671445341,12,3,9
285,553473452,72,18,54
285,554711016,48,8,40
285,555554538,96,12,84
285,566379415,32,8,24
285,566906323,60,20,40
285,567451560,36,6,30
285,567451576,432,72,360
285,567451628,72,12,60
285,568485714,8,2,6
285,576025422,144,12,132
285,576886796,4,1,3
285,577632500,48,12,36
285,578306309,48,8,40
285,578471360,48,8,40
285,579018526,120,5,115
285,581617864,36,3,33
285,583271930,10,5,5
285,584746992,36,6,30
285,585483928,72,12,60
285,586940352,48,4,44
285,595421004,4,1,3
285,595621004,12,2,10
285,650707944,48,8,40
285,652763645,36,6,30
285,653466998,30,5,25
285,655978596,24,8,16
285,656827097,18,6,12
285,658942524,288,12,276
285,659337445,24,8,16
285,670122381,24,8,16
285,671445341,24,6,18
286,553473452,72,18,54
286,554711016,24,4,20
286,566379415,32,8,24
286,566906323,36,12,24
286,567451560,36,6,30
286,567451576,144,24,120
286,567451628,72,12,60
286,568485714,4,1,3
286,576025422,144,12,132
286,576886796,4,1,3
286,577632500,96,24,72
286,578306309,24,4,20
286,578471360,72,12,60
286,579018526,96,4,92
286,583271930,6,3,3
286,584746992,36,6,30
286,585483928,120,20,100
286,586940352,12,1,11
286,595621004,12,2,10
286,652763645,36,6,30
286,653466998,90,15,75
286,655978596,12,4,8
286,658942524,288,12,276
286,658942525,120,8,112
286,659337445,48,16,32
286,670122381,12,4,8
286,671445341,12,3,9
286,673321413,36,9,27
288,288791,144,12,132
288,553473452,48,12,36
288,554711016,24,4,20
288,566379415,16,4,12
288,566906323,24,8,16
288,567451560,36,6,30
288,567451576,180,30,150
288,567451628,72,12,60
288,576025422,144,12,132
288,577632500,72,18,54
288,578306309,24,4,20
288,578471360,24,4,20
288,579018526,72,3,69
288,583271930,4,2,2
288,584746992,36,6,30
288,585483928,48,8,40
288,595621004,12,2,10
288,650707944,24,4,20
288,652763645,12,2,10
288,653466998,30,5,25
288,655978596,36,12,24
288,658942524,288,12,276
288,658942525,120,8,112
288,666810356,4,1,3
288,671445341,12,3,9
320,554711016,48,8,40
320,566379415,32,8,24
320,566906323,12,4,8
320,567451560,36,6,30
320,567451576,72,12,60
320,567451628,36,6,30
320,576025422,72,6,66
320,578306309,96,16,80
320,578471360,24,4,20
320,579018526,120,5,115
320,584746992,36,6,30
320,586940352,12,1,11
320,595421004,12,3,9
320,653466998,60,10,50
320,656827097,18,6,12
320,658942524,288,12,276
320,669772431,8,4,4
320,671445341,24,6,18
345,553473452,72,18,54
345,554711016,48,8,40
345,566379415,80,20,60
345,566906323,72,24,48
345,567451560,36,6,30
345,567451576,432,72,360
345,567451628,108,18,90
345,568485714,8,2,6
345,576025422,144,12,132
345,576886796,4,1,3
345,577632500,96,24,72
345,578306309,24,4,20
345,578471360,96,16,80
345,579018526,96,4,92
345,584746992,36,6,30
345,585483928,72,12,60
345,586940352,12,1,11
345,595621004,36,6,30
345,652763645,12,2,10
345,653466998,90,15,75
345,655978596,24,8,16
345,656827097,18,6,12
345,658942524,288,12,276
345,658942525,120,8,112
345,659337445,36,12,24
345,669772431,4,2,2
345,671445341,24,6,18
364,553473452,72,18,54
364,554711016,24,4,20
364,566379415,16,4,12
364,566906323,12,4,8
364,567451560,36,6,30
364,567451576,180,30,150
364,567451628,144,24,120
364,568485714,4,1,3
364,576025422,144,12,132
364,578471360,48,8,40
364,579018526,48,2,46
364,583271930,6,3,3
364,584746992,36,6,30
364,585483928,72,12,60
364,586940352,36,3,33
364,595621004,12,2,10
364,650707944,24,4,20
364,652763645,12,2,10
364,653466998,60,10,50
364,655978596,12,4,8
364,656827097,18,6,12
364,658942524,288,12,276
364,658942525,120,8,112
364,659337445,24,8,16
364,666810356,4,1,3
364,669772431,18,9,9
364,671445341,12,3,9
376,553473452,48,12,36
376,554711016,48,8,40
376,566379415,80,20,60
376,566906323,48,16,32
376,567451560,108,18,90
376,567451576,648,108,540
376,567451628,180,30,150
376,568485714,4,1,3
376,573415795,6,1,5
376,576025422,144,12,132
376,576886796,16,4,12
376,577632500,48,12,36
376,578306309,48,8,40
376,578471360,72,12,60
376,579018526,96,4,92
376,583271930,10,5,5
376,584746992,72,12,60
376,585483928,120,20,100
376,586940352,36,3,33
376,595621004,36,6,30
376,650707944,96,16,80
376,652763645,60,10,50
376,653466998,60,10,50
376,655978596,24,8,16
376,658942524,288,12,276
376,658942525,120,8,112
376,666810356,8,2,6
376,669772431,8,4,4
376,671445341,48,12,36
381,553473452,120,30,90
381,554711016,24,4,20
381,566379415,48,12,36
381,566906323,36,12,24
381,567451560,36,6,30
381,567451576,396,66,330
381,567451628,144,24,120
381,568485714,4,1,3
381,576025422,144,12,132
381,577632500,48,12,36
381,578306309,24,4,20
381,578471360,96,16,80
381,579018526,192,8,184
381,583271930,4,2,2
381,584746992,36,6,30
381,585483928,48,8,40
381,586940352,12,1,11
381,595421004,8,2,6
381,595621004,36,6,30
381,598977946,18,3,15
381,650707944,696,116,580
381,652763645,36,6,30
381,653466998,30,5,25
