State,Flavoring,Additional Requirements
Alabama,Allowed,
Alaska,Not Allowed,
Arizona,Allowed,"Maintain Documentation
See guidance below"
Arkansas,Allowed,
California,Not Allowed,
Colorado,Allowed,
Connecticut,Allowed,
DC,Not Allowed,
Delaware,Not Allowed,
Florida,Not Allowed,
Georgia,Not Allowed,
Hawaii,Not Allowed,
Idaho,Allowed,
Illinois,Allowed,
Indiana,Allowed,
Iowa,Allowed,"Maintain Documentation
See guidance below"
Kansas,Allowed,
Kentucky,Allowed,
Louisiana,Not Allowed,
Maine,Not Allowed,
Maryland,Not Allowed,
Massachusetts,Allowed,See POM 1719-Non-Sterile Compounding MA Specific
Michigan,Allowed,
Minnesota,Allowed,Maintain Documentation
Mississippi,Allowed,
Missouri,Allowed,"Maintain Documentation 
Must affix auxillary label
See guidance below"
Montana,Not Allowed,
Nebraska,Allowed,
Nevada,Allowed,
New Hampshire,Allowed,
New Jersey,Not Allowed,
New Mexico,Allowed,"Maintain Documentation
See guidance below"
New York,Allowed,
North Carolina,Not Allowed,
North Dakota,Not Allowed,
Ohio,Allowed,"Maintain Documentation
See guidance below"
Oklahoma,Allowed,
Oregon,Allowed,
Pennsylvania,Allowed,
Rhode Island,Not Allowed,
South Carolina,Not Allowed,
South Dakota,Allowed,
Tennessee,Not Allowed,
Texas,Allowed,"Maintain Documentation
See guidance below"
Utah,Allowed,
Vermont,Allowed,
Virginia,Allowed,
Washington,Not Allowed,
West Virginia,Allowed,
Wisconsin,Not Allowed,
Wyoming,Allowed,